Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Ba1,a,2,1,,0,0,0,,,
Ba2,d,6,1,,0.25,0.5,0,,,
Ge1,c,6,0.313,0.016,0,0.5,0.25,,,
Ga1,c,6,0.331,0.016,0,0.5,0.25,,,
Ge2,i,16,0.742,0.01,0.184563,0.184563,0.184563,1.4e-05,1.4e-05,1.4e-05
Ga2,i,16,0.171,0.01,0.184563,0.184563,0.184563,1.4e-05,1.4e-05,1.4e-05
Ge3,k,24,0.677,0.005,0,0.308145,0.11762,,1.9e-05,2e-05
Ga3,k,24,0.253,0.005,0,0.308145,0.11762,,1.9e-05,2e-05
Al1,c,6,0.356,,0,0.5,0.25,,,
Al2,i,16,0.087,,0.184563,0.184563,0.184563,1.4e-05,1.4e-05,1.4e-05
Al3,k,24,0.07,,0,0.308145,0.11762,,1.9e-05,2e-05
