Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Ba1,a,2,1,,0,0,0,,,
Ba2,d,6,1,,0.25,0.5,0,,,
Ge1,c,6,0.297,0.015,0,0.5,0.25,,,
Ga1,c,6,0.347,0.015,0,0.5,0.25,,,
Ge2,i,16,0.745,0.01,0.184554,0.184554,0.184554,1.3e-05,1.3e-05,1.3e-05
Ga2,i,16,0.168,0.01,0.184554,0.184554,0.184554,1.3e-05,1.3e-05,1.3e-05
Ge3,k,24,0.679,0.005,0,0.308153,0.117583,,1.8e-05,1.8e-05
Ga3,k,24,0.251,0.005,0,0.308153,0.117583,,1.8e-05,1.8e-05
Al1,c,6,0.356,,0,0.5,0.25,,,
Al2,i,16,0.087,,0.184554,0.184554,0.184554,1.3e-05,1.3e-05,1.3e-05
Al3,k,24,0.07,,0,0.308153,0.117583,,1.8e-05,1.8e-05
