Label,WyckoffSymbol,WyckoffMultiplicity,Occupancy,OccupancyError,x_a,y_b,z_c,x_error,y_error,z_error
Ba1,a,2,1,,0,0,0,,,
Ba2,d,6,1,,0.25,0.5,0,,,
Ge1,c,6,0.259,0.015,0,0.5,0.25,,,
Ga1,c,6,0.385,0.015,0,0.5,0.25,,,
Ge2,i,16,0.726,0.01,0.18453,0.18453,0.18453,1.2e-05,1.2e-05,1.2e-05
Ga2,i,16,0.187,0.01,0.18453,0.18453,0.18453,1.2e-05,1.2e-05,1.2e-05
Ge3,k,24,0.701,0.006,0,0.308171,0.11758,,1.7e-05,1.7e-05
Ga3,k,24,0.229,0.006,0,0.308171,0.11758,,1.7e-05,1.7e-05
Al1,c,6,0.356,,0,0.5,0.25,,,
Al2,i,16,0.087,,0.18453,0.18453,0.18453,1.2e-05,1.2e-05,1.2e-05
Al3,k,24,0.07,,0,0.308171,0.11758,,1.7e-05,1.7e-05
